--------------------2024-May-21 07:52:08------------------------------------
2024-May-21 09:16:29 |FINNIFTY24521-21200-21550CE |TRDPARITY:65 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000002370509 |OrdNumL2:1200000002371007 |OrdNumL3:1900000002179900 |OrdNumL4:1900000002179901 |M2M:2020.75
2024-May-21 09:16:32 |FINNIFTY24521-21200-21500CE |TRDPARITY:60 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000002421993 |OrdNumL2:1200000002422001 |OrdNumL3:1900000002231319 |OrdNumL4:1900000002231320 |M2M:2023.95
2024-May-21 09:16:35 |NIFTY24523-22700-22400PE |TRDPARITY:75 |QTY:2 |ParityWas:65 |OpnCls:2 |OrdNumL1:2100000000607882 |OrdNumL2:2000000000604651 |OrdNumL3:1000000000638282 |OrdNumL4:1100000000678680 |M2M:2027.45
2024-May-21 09:16:35 |NIFTY24523-22700-22400PE |TRDPARITY:27 |QTY:2 |ParityWas:65 |OpnCls:2 |OrdNumL1:2100000000608761 |OrdNumL2:2000000000604690 |OrdNumL3:1000000000638350 |OrdNumL4:1100000000678728 |M2M:2006.95
2024-May-21 09:16:38 |NIFTY24523-22750-22400PE |TRDPARITY:70 |QTY:1 |ParityWas:70 |OpnCls:2 |OrdNumL1:2100000000628275 |OrdNumL2:2000000000624541 |OrdNumL3:1000000000655723 |OrdNumL4:1100000000697655 |M2M:2006.20
2024-May-21 09:16:38 |FINNIFTY24521-21200-21550CE |TRDPARITY:47 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000002549427 |OrdNumL2:1200000002549799 |OrdNumL3:1900000002367443 |OrdNumL4:1900000002367444 |M2M:1997.40
2024-May-21 09:16:39 |FINNIFTY24521-21200-21500CE |TRDPARITY:53 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000002557403 |OrdNumL2:1200000002559139 |OrdNumL3:1900000002377549 |OrdNumL4:1900000002377550 |M2M:1995.00
2024-May-21 09:16:41 |FINNIFTY24521-21200-21500CE |TRDPARITY:55 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000002594016 |OrdNumL2:1200000002601454 |OrdNumL3:1900000002412181 |OrdNumL4:1900000002412182 |M2M:1993.80
2024-May-21 09:16:41 |FINNIFTY24521-21200-21500CE |TRDPARITY:55 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000002601473 |OrdNumL2:1200000002601506 |OrdNumL3:1900000002412241 |OrdNumL4:1900000002412242 |M2M:1993.80
2024-May-21 09:17:06 |FINNIFTY24521-21400-21450CE |TRDPARITY:50 |QTY:1 |ParityWas:35 |OpnCls:1 |OrdNumL1:1200000003154317 |OrdNumL2:1200000003154538 |OrdNumL3:1900000002924478 |OrdNumL4:1900000002924479 |M2M:2003.00
