--------------------2024-May-21 07:52:07------------------------------------
2024-May-21 09:55:15 |BANKNIFTY24522-47000-48500CE |TRDPARITY:-1390 |QTY:2 |ParityWas:400 |OpnCls:1 |OrdNumL1:1500000029692318 |OrdNumL2:1600000028429879 |OrdNumL3:1800000028513172 |OrdNumL4:1700000029342515 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-47200-47900CE |TRDPARITY:-1380 |QTY:2 |ParityWas:275 |OpnCls:1 |OrdNumL1:1500000029694035 |OrdNumL2:1600000028429911 |OrdNumL3:1800000028513184 |OrdNumL4:1700000029342530 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-48500-47900PE |TRDPARITY:-1000 |QTY:2 |ParityWas:105 |OpnCls:2 |OrdNumL1:1800000028507856 |OrdNumL2:1800000028513191 |OrdNumL3:1600000028429925 |OrdNumL4:1600000028429926 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-48700-47900PE |TRDPARITY:-1420 |QTY:2 |ParityWas:160 |OpnCls:2 |OrdNumL1:1800000028505342 |OrdNumL2:1800000028513189 |OrdNumL3:1600000028429921 |OrdNumL4:1600000028429922 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-48900-47900PE |TRDPARITY:-2030 |QTY:2 |ParityWas:145 |OpnCls:2 |OrdNumL1:1800000028503391 |OrdNumL2:1800000028513154 |OrdNumL3:1600000028429861 |OrdNumL4:1600000028429862 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-49000-47900PE |TRDPARITY:-1970 |QTY:2 |ParityWas:150 |OpnCls:2 |OrdNumL1:1700000029333300 |OrdNumL2:1800000028513157 |OrdNumL3:1600000028429867 |OrdNumL4:1500000029698729 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-49000-47500PE |TRDPARITY:-1760 |QTY:2 |ParityWas:180 |OpnCls:2 |OrdNumL1:1700000029333303 |OrdNumL2:1800000028513159 |OrdNumL3:1600000028429868 |OrdNumL4:1500000029698731 |M2M:-27051.30
2024-May-21 09:55:15 |BANKNIFTY24522-49500-47500PE |TRDPARITY:-1585 |QTY:2 |ParityWas:195 |OpnCls:2 |OrdNumL1:1800000028503640 |OrdNumL2:1800000028513181 |OrdNumL3:1600000028429908 |OrdNumL4:1600000028429909 |M2M:-27051.30
2024-May-21 09:55:15 |BANKNIFTY24522-46500-47500CE |TRDPARITY:-2027 |QTY:2 |ParityWas:450 |OpnCls:1 |OrdNumL1:1600000028423423 |OrdNumL2:1600000028429836 |OrdNumL3:1800000028513134 |OrdNumL4:1800000028513136 |M2M:-27051.30
2024-May-21 09:55:15 |BANKNIFTY24MAY-46500-48200CE |TRDPARITY:-498 |QTY:2 |ParityWas:1270 |OpnCls:1 |OrdNumL1:1400000017795289 |OrdNumL2:1400000017802335 |OrdNumL3:1400000017802333 |OrdNumL4:1400000017802336 |M2M:-27051.30
2024-May-21 09:55:15 |BANKNIFTY24522-48900-48000PE |TRDPARITY:-2505 |QTY:2 |ParityWas:190 |OpnCls:2 |OrdNumL1:1800000028500492 |OrdNumL2:1700000029342433 |OrdNumL3:1500000029698663 |OrdNumL4:1600000028429792 |M2M:-27051.30
2024-May-21 09:55:15 |BANKNIFTY24522-49000-48000PE |TRDPARITY:-1655 |QTY:2 |ParityWas:175 |OpnCls:2 |OrdNumL1:1700000029333298 |OrdNumL2:1700000029342505 |OrdNumL3:1500000029698727 |OrdNumL4:1500000029698728 |M2M:-27051.30
